Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
2,1622624053891,02/06/2021 08:54:13,1622624051448,1,02/06/2021 09:54:11,53470,4,questionnaire-uqlw,,13194745,5d6794cb0942ff00162345bb,3971184,,complete,,60b747102281c67a6c47b3a4,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1280x720,1579x732,,demog,7,No,Sex,Male
3,1622624054032,02/06/2021 08:54:14,1622624051449,1,02/06/2021 09:54:11,53470,4,questionnaire-uqlw,,13194745,5d6794cb0942ff00162345bb,3971184,,complete,,60b747102281c67a6c47b3a4,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1280x720,1579x732,,demog,7,No,Sex-quantised,2
4,1622624054032,02/06/2021 08:54:14,1622624051450,1,02/06/2021 09:54:11,53470,4,questionnaire-uqlw,,13194745,5d6794cb0942ff00162345bb,3971184,,complete,,60b747102281c67a6c47b3a4,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1280x720,1579x732,,demog,7,No,Age,18-24
5,1622624054032,02/06/2021 08:54:14,1622624051450,1,02/06/2021 09:54:11,53470,4,questionnaire-uqlw,,13194745,5d6794cb0942ff00162345bb,3971184,,complete,,60b747102281c67a6c47b3a4,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1280x720,1579x732,,demog,7,No,Age-quantised,1
6,1622624054032,02/06/2021 08:54:14,1622624051450,1,02/06/2021 09:54:11,53470,4,questionnaire-uqlw,,13194745,5d6794cb0942ff00162345bb,3971184,,complete,,60b747102281c67a6c47b3a4,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1280x720,1579x732,,demog,7,No,field,Pharmacy
7,1622624054032,02/06/2021 08:54:14,1622624051450,1,02/06/2021 09:54:11,53470,4,questionnaire-uqlw,,13194745,5d6794cb0942ff00162345bb,3971184,,complete,,60b747102281c67a6c47b3a4,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1280x720,1579x732,,demog,7,No,Ed_level,undergraduate/Bachelors
8,1622624054032,02/06/2021 08:54:14,1622624051450,1,02/06/2021 09:54:11,53470,4,questionnaire-uqlw,,13194745,5d6794cb0942ff00162345bb,3971184,,complete,,60b747102281c67a6c47b3a4,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1280x720,1579x732,,demog,7,No,Ed_level-quantised,2
9,1622624054032,02/06/2021 08:54:14,1622624051450,1,02/06/2021 09:54:11,53470,4,questionnaire-uqlw,,13194745,5d6794cb0942ff00162345bb,3971184,,complete,,60b747102281c67a6c47b3a4,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1280x720,1579x732,,demog,7,No,END QUESTIONNAIRE,17709
1,1622624802215,02/06/2021 09:06:42,1622624802296,1,02/06/2021 10:06:42,53470,4,questionnaire-uqlw,,13195132,5c555247b7cf140001d35217,3971277,,complete,,60b749ebd23070637c033091,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x657,,demog,7,No,BEGIN QUESTIONNAIRE,
2,1622624821136,02/06/2021 09:07:01,1622624821191,1,02/06/2021 10:07:01,53470,4,questionnaire-uqlw,,13195132,5c555247b7cf140001d35217,3971277,,complete,,60b749ebd23070637c033091,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1349x657,,demog,7,No,Sex,Female
3,1622624821228,02/06/2021 09:07:01,1622624821196,1,02/06/2021 10:07:01,53470,4,questionnaire-uqlw,,13195132,5c555247b7cf140001d35217,3971277,,complete,,60b749ebd23070637c033091,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1349x657,,demog,7,No,Sex-quantised,1
4,1622624821228,02/06/2021 09:07:01,1622624821197,1,02/06/2021 10:07:01,53470,4,questionnaire-uqlw,,13195132,5c555247b7cf140001d35217,3971277,,complete,,60b749ebd23070637c033091,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1349x657,,demog,7,No,Age,31-40
5,1622624821228,02/06/2021 09:07:01,1622624821197,1,02/06/2021 10:07:01,53470,4,questionnaire-uqlw,,13195132,5c555247b7cf140001d35217,3971277,,complete,,60b749ebd23070637c033091,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1349x657,,demog,7,No,Age-quantised,3
6,1622624821228,02/06/2021 09:07:01,1622624821198,1,02/06/2021 10:07:01,53470,4,questionnaire-uqlw,,13195132,5c555247b7cf140001d35217,3971277,,complete,,60b749ebd23070637c033091,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1349x657,,demog,7,No,field,nursing
7,1622624821228,02/06/2021 09:07:01,1622624821198,1,02/06/2021 10:07:01,53470,4,questionnaire-uqlw,,13195132,5c555247b7cf140001d35217,3971277,,complete,,60b749ebd23070637c033091,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1349x657,,demog,7,No,Ed_level,undergraduate/Bachelors
8,1622624821228,02/06/2021 09:07:01,1622624821199,1,02/06/2021 10:07:01,53470,4,questionnaire-uqlw,,13195132,5c555247b7cf140001d35217,3971277,,complete,,60b749ebd23070637c033091,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1349x657,,demog,7,No,Ed_level-quantised,2
9,1622624821228,02/06/2021 09:07:01,1622624821200,1,02/06/2021 10:07:01,53470,4,questionnaire-uqlw,,13195132,5c555247b7cf140001d35217,3971277,,complete,,60b749ebd23070637c033091,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1349x657,,demog,7,No,END QUESTIONNAIRE,18905
1,1622624863394,02/06/2021 09:07:43,1622624864144,1,02/06/2021 10:07:44,53470,4,questionnaire-uqlw,,13195167,601eefaacaa62b3d3b7e8476,3971285,,complete,,60b74a57a55f400b0e35adc9,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,demog,7,No,BEGIN QUESTIONNAIRE,
2,1622624894554,02/06/2021 09:08:14,1622624895311,1,02/06/2021 10:08:15,53470,4,questionnaire-uqlw,,13195167,601eefaacaa62b3d3b7e8476,3971285,,complete,,60b74a57a55f400b0e35adc9,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x722,,demog,7,No,Sex,Male
3,1622624894646,02/06/2021 09:08:14,1622624895312,1,02/06/2021 10:08:15,53470,4,questionnaire-uqlw,,13195167,601eefaacaa62b3d3b7e8476,3971285,,complete,,60b74a57a55f400b0e35adc9,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x722,,demog,7,No,Sex-quantised,2
4,1622624894646,02/06/2021 09:08:14,1622624895312,1,02/06/2021 10:08:15,53470,4,questionnaire-uqlw,,13195167,601eefaacaa62b3d3b7e8476,3971285,,complete,,60b74a57a55f400b0e35adc9,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x722,,demog,7,No,Age,18-24
5,1622624894646,02/06/2021 09:08:14,1622624895312,1,02/06/2021 10:08:15,53470,4,questionnaire-uqlw,,13195167,601eefaacaa62b3d3b7e8476,3971285,,complete,,60b74a57a55f400b0e35adc9,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x722,,demog,7,No,Age-quantised,1
6,1622624894646,02/06/2021 09:08:14,1622624895313,1,02/06/2021 10:08:15,53470,4,questionnaire-uqlw,,13195167,601eefaacaa62b3d3b7e8476,3971285,,complete,,60b74a57a55f400b0e35adc9,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x722,,demog,7,No,field,Geology
7,1622624894646,02/06/2021 09:08:14,1622624895313,1,02/06/2021 10:08:15,53470,4,questionnaire-uqlw,,13195167,601eefaacaa62b3d3b7e8476,3971285,,complete,,60b74a57a55f400b0e35adc9,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x722,,demog,7,No,Ed_level,undergraduate/Bachelors
8,1622624894646,02/06/2021 09:08:14,1622624895313,1,02/06/2021 10:08:15,53470,4,questionnaire-uqlw,,13195167,601eefaacaa62b3d3b7e8476,3971285,,complete,,60b74a57a55f400b0e35adc9,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x722,,demog,7,No,Ed_level-quantised,2
9,1622624894646,02/06/2021 09:08:14,1622624895313,1,02/06/2021 10:08:15,53470,4,questionnaire-uqlw,,13195167,601eefaacaa62b3d3b7e8476,3971285,,complete,,60b74a57a55f400b0e35adc9,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x722,,demog,7,No,END QUESTIONNAIRE,31170
1,1622625012611,02/06/2021 09:10:12,1622625012476,1,02/06/2021 10:10:12,53470,4,questionnaire-uqlw,,13195242,5e790ca38cba350b0a1f6f20,3971334,,complete,,60b74a766fc7b78c4b569f48,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,,demog,7,No,BEGIN QUESTIONNAIRE,
2,1622625021611,02/06/2021 09:10:21,1622625021568,1,02/06/2021 10:10:21,53470,4,questionnaire-uqlw,,13195242,5e790ca38cba350b0a1f6f20,3971334,,complete,,60b74a766fc7b78c4b569f48,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,,demog,7,No,BEGIN QUESTIONNAIRE,
3,1622625045167,02/06/2021 09:10:45,1622625045126,1,02/06/2021 10:10:45,53470,4,questionnaire-uqlw,,13195242,5e790ca38cba350b0a1f6f20,3971334,,complete,,60b74a766fc7b78c4b569f48,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,,demog,7,No,Sex,Female
4,1622625045281,02/06/2021 09:10:45,1622625045128,1,02/06/2021 10:10:45,53470,4,questionnaire-uqlw,,13195242,5e790ca38cba350b0a1f6f20,3971334,,complete,,60b74a766fc7b78c4b569f48,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,,demog,7,No,Sex-quantised,1
5,1622625045281,02/06/2021 09:10:45,1622625045129,1,02/06/2021 10:10:45,53470,4,questionnaire-uqlw,,13195242,5e790ca38cba350b0a1f6f20,3971334,,complete,,60b74a766fc7b78c4b569f48,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,,demog,7,No,Age,18-24
6,1622625045281,02/06/2021 09:10:45,1622625045129,1,02/06/2021 10:10:45,53470,4,questionnaire-uqlw,,13195242,5e790ca38cba350b0a1f6f20,3971334,,complete,,60b74a766fc7b78c4b569f48,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,,demog,7,No,Age-quantised,1
7,1622625045281,02/06/2021 09:10:45,1622625045129,1,02/06/2021 10:10:45,53470,4,questionnaire-uqlw,,13195242,5e790ca38cba350b0a1f6f20,3971334,,complete,,60b74a766fc7b78c4b569f48,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,,demog,7,No,field,Pharmacy
8,1622625045281,02/06/2021 09:10:45,1622625045129,1,02/06/2021 10:10:45,53470,4,questionnaire-uqlw,,13195242,5e790ca38cba350b0a1f6f20,3971334,,complete,,60b74a766fc7b78c4b569f48,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,,demog,7,No,Ed_level,undergraduate/Bachelors
9,1622625045281,02/06/2021 09:10:45,1622625045129,1,02/06/2021 10:10:45,53470,4,questionnaire-uqlw,,13195242,5e790ca38cba350b0a1f6f20,3971334,,complete,,60b74a766fc7b78c4b569f48,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,,demog,7,No,Ed_level-quantised,2
10,1622625045281,02/06/2021 09:10:45,1622625045129,1,02/06/2021 10:10:45,53470,4,questionnaire-uqlw,,13195242,5e790ca38cba350b0a1f6f20,3971334,,complete,,60b74a766fc7b78c4b569f48,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x707,,demog,7,No,END QUESTIONNAIRE,23561
1,1622625299584,02/06/2021 09:14:59,1622625321125,1,02/06/2021 10:15:21,53470,4,questionnaire-uqlw,,13195379,5bbf31958d691100016f17ec,3971432,,complete,,60b74adf699a0cc95e51900f,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x754,,demog,7,No,BEGIN QUESTIONNAIRE,
2,1622625333564,02/06/2021 09:15:33,1622625355071,1,02/06/2021 10:15:55,53470,4,questionnaire-uqlw,,13195379,5bbf31958d691100016f17ec,3971432,,complete,,60b74adf699a0cc95e51900f,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x754,,demog,7,No,Sex,Female
3,1622625333649,02/06/2021 09:15:33,1622625355074,1,02/06/2021 10:15:55,53470,4,questionnaire-uqlw,,13195379,5bbf31958d691100016f17ec,3971432,,complete,,60b74adf699a0cc95e51900f,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x754,,demog,7,No,Sex-quantised,1
4,1622625333649,02/06/2021 09:15:33,1622625355074,1,02/06/2021 10:15:55,53470,4,questionnaire-uqlw,,13195379,5bbf31958d691100016f17ec,3971432,,complete,,60b74adf699a0cc95e51900f,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x754,,demog,7,No,Age,25-30
5,1622625333649,02/06/2021 09:15:33,1622625355074,1,02/06/2021 10:15:55,53470,4,questionnaire-uqlw,,13195379,5bbf31958d691100016f17ec,3971432,,complete,,60b74adf699a0cc95e51900f,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x754,,demog,7,No,Age-quantised,2
6,1622625333649,02/06/2021 09:15:33,1622625355075,1,02/06/2021 10:15:55,53470,4,questionnaire-uqlw,,13195379,5bbf31958d691100016f17ec,3971432,,complete,,60b74adf699a0cc95e51900f,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x754,,demog,7,No,field,Dental Public Health
7,1622625333649,02/06/2021 09:15:33,1622625355075,1,02/06/2021 10:15:55,53470,4,questionnaire-uqlw,,13195379,5bbf31958d691100016f17ec,3971432,,complete,,60b74adf699a0cc95e51900f,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x754,,demog,7,No,Ed_level,PhD
8,1622625333649,02/06/2021 09:15:33,1622625355075,1,02/06/2021 10:15:55,53470,4,questionnaire-uqlw,,13195379,5bbf31958d691100016f17ec,3971432,,complete,,60b74adf699a0cc95e51900f,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x754,,demog,7,No,Ed_level-quantised,4
9,1622625333649,02/06/2021 09:15:33,1622625355075,1,02/06/2021 10:15:55,53470,4,questionnaire-uqlw,,13195379,5bbf31958d691100016f17ec,3971432,,complete,,60b74adf699a0cc95e51900f,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x754,,demog,7,No,END QUESTIONNAIRE,33950
1,1622625480340,02/06/2021 09:18:00,1622625478531,1,02/06/2021 10:17:58,53470,4,questionnaire-uqlw,,13195482,60b506ced6a865fd6f20d1b4,3971469,,complete,,60b74b8d5afe1477de2dc51d,computer,Desktop or Laptop,Chromium OS 13816.80.0,Chrome 90.0.4430.215,1300x731,1300x612,,demog,7,No,BEGIN QUESTIONNAIRE,
2,1622625501243,02/06/2021 09:18:21,1622625499423,1,02/06/2021 10:18:19,53470,4,questionnaire-uqlw,,13195482,60b506ced6a865fd6f20d1b4,3971469,,complete,,60b74b8d5afe1477de2dc51d,computer,Desktop or Laptop,Chromium OS 13816.80.0,Chrome 90.0.4430.215,1300x731,1300x612,,demog,7,No,Sex,Female
3,1622625501368,02/06/2021 09:18:21,1622625499432,1,02/06/2021 10:18:19,53470,4,questionnaire-uqlw,,13195482,60b506ced6a865fd6f20d1b4,3971469,,complete,,60b74b8d5afe1477de2dc51d,computer,Desktop or Laptop,Chromium OS 13816.80.0,Chrome 90.0.4430.215,1300x731,1300x612,,demog,7,No,Sex-quantised,1
4,1622625501368,02/06/2021 09:18:21,1622625499433,1,02/06/2021 10:18:19,53470,4,questionnaire-uqlw,,13195482,60b506ced6a865fd6f20d1b4,3971469,,complete,,60b74b8d5afe1477de2dc51d,computer,Desktop or Laptop,Chromium OS 13816.80.0,Chrome 90.0.4430.215,1300x731,1300x612,,demog,7,No,Age,18-24
5,1622625501368,02/06/2021 09:18:21,1622625499433,1,02/06/2021 10:18:19,53470,4,questionnaire-uqlw,,13195482,60b506ced6a865fd6f20d1b4,3971469,,complete,,60b74b8d5afe1477de2dc51d,computer,Desktop or Laptop,Chromium OS 13816.80.0,Chrome 90.0.4430.215,1300x731,1300x612,,demog,7,No,Age-quantised,1
6,1622625501368,02/06/2021 09:18:21,1622625499434,1,02/06/2021 10:18:19,53470,4,questionnaire-uqlw,,13195482,60b506ced6a865fd6f20d1b4,3971469,,complete,,60b74b8d5afe1477de2dc51d,computer,Desktop or Laptop,Chromium OS 13816.80.0,Chrome 90.0.4430.215,1300x731,1300x612,,demog,7,No,field,Psychology
7,1622625501368,02/06/2021 09:18:21,1622625499434,1,02/06/2021 10:18:19,53470,4,questionnaire-uqlw,,13195482,60b506ced6a865fd6f20d1b4,3971469,,complete,,60b74b8d5afe1477de2dc51d,computer,Desktop or Laptop,Chromium OS 13816.80.0,Chrome 90.0.4430.215,1300x731,1300x612,,demog,7,No,Ed_level,undergraduate/Bachelors
8,1622625501368,02/06/2021 09:18:21,1622625499435,1,02/06/2021 10:18:19,53470,4,questionnaire-uqlw,,13195482,60b506ced6a865fd6f20d1b4,3971469,,complete,,60b74b8d5afe1477de2dc51d,computer,Desktop or Laptop,Chromium OS 13816.80.0,Chrome 90.0.4430.215,1300x731,1300x612,,demog,7,No,Ed_level-quantised,2
9,1622625501368,02/06/2021 09:18:21,1622625499435,1,02/06/2021 10:18:19,53470,4,questionnaire-uqlw,,13195482,60b506ced6a865fd6f20d1b4,3971469,,complete,,60b74b8d5afe1477de2dc51d,computer,Desktop or Laptop,Chromium OS 13816.80.0,Chrome 90.0.4430.215,1300x731,1300x612,,demog,7,No,END QUESTIONNAIRE,20904
1,1622625916559,02/06/2021 09:25:16,1622625916823,1,02/06/2021 10:25:16,53470,4,questionnaire-uqlw,,13195735,5f14d76ee1b34e0e1cfcbf59,3971534,,complete,,60b74e6bb3faf998240d27c5,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1368x912,1368x770,,demog,7,No,BEGIN QUESTIONNAIRE,
2,1622625932734,02/06/2021 09:25:32,1622625932950,1,02/06/2021 10:25:32,53470,4,questionnaire-uqlw,,13195735,5f14d76ee1b34e0e1cfcbf59,3971534,,complete,,60b74e6bb3faf998240d27c5,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1368x912,1351x770,,demog,7,No,Sex,Female
3,1622625933266,02/06/2021 09:25:33,1622625932952,1,02/06/2021 10:25:32,53470,4,questionnaire-uqlw,,13195735,5f14d76ee1b34e0e1cfcbf59,3971534,,complete,,60b74e6bb3faf998240d27c5,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1368x912,1351x770,,demog,7,No,Sex-quantised,1
4,1622625933266,02/06/2021 09:25:33,1622625932952,1,02/06/2021 10:25:32,53470,4,questionnaire-uqlw,,13195735,5f14d76ee1b34e0e1cfcbf59,3971534,,complete,,60b74e6bb3faf998240d27c5,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1368x912,1351x770,,demog,7,No,Age,18-24
5,1622625933266,02/06/2021 09:25:33,1622625932952,1,02/06/2021 10:25:32,53470,4,questionnaire-uqlw,,13195735,5f14d76ee1b34e0e1cfcbf59,3971534,,complete,,60b74e6bb3faf998240d27c5,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1368x912,1351x770,,demog,7,No,Age-quantised,1
6,1622625933266,02/06/2021 09:25:33,1622625932952,1,02/06/2021 10:25:32,53470,4,questionnaire-uqlw,,13195735,5f14d76ee1b34e0e1cfcbf59,3971534,,complete,,60b74e6bb3faf998240d27c5,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1368x912,1351x770,,demog,7,No,field,Psychology
7,1622625933266,02/06/2021 09:25:33,1622625932953,1,02/06/2021 10:25:32,53470,4,questionnaire-uqlw,,13195735,5f14d76ee1b34e0e1cfcbf59,3971534,,complete,,60b74e6bb3faf998240d27c5,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1368x912,1351x770,,demog,7,No,Ed_level,less than undergraduate/Bachelors
8,1622625933266,02/06/2021 09:25:33,1622625932953,1,02/06/2021 10:25:32,53470,4,questionnaire-uqlw,,13195735,5f14d76ee1b34e0e1cfcbf59,3971534,,complete,,60b74e6bb3faf998240d27c5,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1368x912,1351x770,,demog,7,No,Ed_level-quantised,1
9,1622625933266,02/06/2021 09:25:33,1622625932953,1,02/06/2021 10:25:32,53470,4,questionnaire-uqlw,,13195735,5f14d76ee1b34e0e1cfcbf59,3971534,,complete,,60b74e6bb3faf998240d27c5,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1368x912,1351x770,,demog,7,No,END QUESTIONNAIRE,16130
1,1622626276729,02/06/2021 09:31:16,1622626276390,1,02/06/2021 10:31:16,53470,4,questionnaire-uqlw,,13195899,5f52971c271a0703d733031c,3971594,,complete,,60b74f879905bee90db32e43,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,demog,7,No,BEGIN QUESTIONNAIRE,
2,1622626292533,02/06/2021 09:31:32,1622626292145,1,02/06/2021 10:31:32,53470,4,questionnaire-uqlw,,13195899,5f52971c271a0703d733031c,3971594,,complete,,60b74f879905bee90db32e43,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,demog,7,No,Sex,Female
3,1622626292644,02/06/2021 09:31:32,1622626292148,1,02/06/2021 10:31:32,53470,4,questionnaire-uqlw,,13195899,5f52971c271a0703d733031c,3971594,,complete,,60b74f879905bee90db32e43,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,demog,7,No,Sex-quantised,1
4,1622626292644,02/06/2021 09:31:32,1622626292148,1,02/06/2021 10:31:32,53470,4,questionnaire-uqlw,,13195899,5f52971c271a0703d733031c,3971594,,complete,,60b74f879905bee90db32e43,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,demog,7,No,Age,31-40
5,1622626292644,02/06/2021 09:31:32,1622626292149,1,02/06/2021 10:31:32,53470,4,questionnaire-uqlw,,13195899,5f52971c271a0703d733031c,3971594,,complete,,60b74f879905bee90db32e43,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,demog,7,No,Age-quantised,3
6,1622626292644,02/06/2021 09:31:32,1622626292149,1,02/06/2021 10:31:32,53470,4,questionnaire-uqlw,,13195899,5f52971c271a0703d733031c,3971594,,complete,,60b74f879905bee90db32e43,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,demog,7,No,field,Health and social care
7,1622626292644,02/06/2021 09:31:32,1622626292149,1,02/06/2021 10:31:32,53470,4,questionnaire-uqlw,,13195899,5f52971c271a0703d733031c,3971594,,complete,,60b74f879905bee90db32e43,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,demog,7,No,Ed_level,undergraduate/Bachelors
